date,videoViews,profileViews,likes,comments,shares
2026-07-04,57,5,0,0,0
2026-07-05,61,0,0,0,0
2026-07-06,8,0,0,0,0
2026-07-07,17,0,0,0,0
2026-07-08,18,1,1,0,1
2026-07-09,21,0,0,0,0
2026-07-10,16,0,0,0,0
2026-07-11,11,0,0,0,0
2026-07-12,21,0,0,0,0
2026-07-13,20,0,0,0,0
2026-07-14,10,0,0,0,0
2026-07-15,9,0,0,0,0
2026-07-16,40,0,1,0,0
2026-07-17,23,1,0,0,0
2026-07-18,17,0,0,0,0
2026-07-19,56,3,0,0,0
2026-07-20,16,1,0,0,0
2026-07-21,11,1,0,0,0
2026-07-22,24,2,0,0,0
2026-07-23,31,0,0,0,0
2026-07-24,70,2,0,0,0
2026-07-25,12,0,0,0,0
2026-07-26,25,1,0,0,0
2026-07-27,41,1,1,0,0
2026-07-28,33,0,0,0,0
2026-07-29,16,0,0,0,0
2026-07-30,953,7,19,0,0
2026-07-31,554,2,7,0,0
