date,totalViewers,newViewers,returningViewers
2026-06-03,11,9,2
2026-06-04,5,3,2
2026-06-05,136,114,22
2026-06-06,136,114,22
2026-06-07,77,61,16
2026-06-08,15,13,2
2026-06-09,18,15,3
2026-06-10,4,3,1
2026-06-11,14,11,3
2026-06-12,19,15,4
2026-06-13,15,12,3
2026-06-14,24,16,8
2026-06-15,23,18,5
2026-06-16,935,641,294
2026-06-17,812,468,344
2026-06-18,1263,752,511
2026-06-19,604,273,331
2026-06-20,246,102,144
2026-06-21,32,22,10
2026-06-22,23,12,11
2026-06-23,11,10,1
2026-06-24,193,128,65
2026-06-25,2263,2115,148
2026-06-26,1249,1115,134
2026-06-27,20,13,7
2026-06-28,21,15,6
2026-06-29,16,11,5
2026-06-30,12,9,3
2026-07-01,14,7,7
2026-07-02,24,14,10
2026-07-03,21,17,4
2026-07-04,26,15,11
2026-07-05,28,22,6
2026-07-06,22,14,8
2026-07-07,12,11,1
2026-07-08,12,11,1
2026-07-09,10,7,3
2026-07-10,15,11,4
2026-07-11,13,10,3
2026-07-12,10,5,5
2026-07-13,9,6,3
2026-07-14,12,10,2
2026-07-15,9,7,2
2026-07-16,9,8,1
2026-07-17,10,8,2
2026-07-18,15,12,3
2026-07-19,11,8,3
2026-07-20,15,11,4
2026-07-21,15,12,3
2026-07-22,6,5,1
2026-07-23,11,11,0
2026-07-24,16,14,2
2026-07-25,10,5,5
2026-07-26,8,7,1
2026-07-27,15,11,4
2026-07-28,22,19,3
2026-07-29,20,15,5
2026-07-30,12,10,2
2026-07-31,808,618,190
