"Date","Video Views","Profile Views","Likes","Comments","Shares"
"July 4","57","5","0","0","0"
"July 5","61","0","0","0","0"
"July 6","8","0","0","0","0"
"July 7","17","0","0","0","0"
"July 8","18","1","1","0","1"
"July 9","21","0","0","0","0"
"July 10","16","0","0","0","0"
"July 11","11","0","0","0","0"
"July 12","21","0","0","0","0"
"July 13","20","0","0","0","0"
"July 14","10","0","0","0","0"
"July 15","9","0","0","0","0"
"July 16","40","0","1","0","0"
"July 17","23","1","0","0","0"
"July 18","17","0","0","0","0"
"July 19","56","3","0","0","0"
"July 20","16","1","0","0","0"
"July 21","11","1","0","0","0"
"July 22","24","2","0","0","0"
"July 23","31","0","0","0","0"
"July 24","70","2","0","0","0"
"July 25","12","0","0","0","0"
"July 26","25","1","0","0","0"
"July 27","41","1","1","0","0"
"July 28","33","0","0","0","0"
"July 29","16","0","0","0","0"
"July 30","953","7","19","0","0"
"July 31","554","2","7","0","0"
