"Date","Total Viewers","New Viewers","Returning Viewers"
"June 3","11","9","2"
"June 4","5","3","2"
"June 5","136","114","22"
"June 6","136","114","22"
"June 7","77","61","16"
"June 8","15","13","2"
"June 9","18","15","3"
"June 10","4","3","1"
"June 11","14","11","3"
"June 12","19","15","4"
"June 13","15","12","3"
"June 14","24","16","8"
"June 15","23","18","5"
"June 16","935","641","294"
"June 17","812","468","344"
"June 18","1263","752","511"
"June 19","604","273","331"
"June 20","246","102","144"
"June 21","32","22","10"
"June 22","23","12","11"
"June 23","11","10","1"
"June 24","193","128","65"
"June 25","2263","2115","148"
"June 26","1249","1115","134"
"June 27","20","13","7"
"June 28","21","15","6"
"June 29","16","11","5"
"June 30","12","9","3"
"July 1","14","7","7"
"July 2","24","14","10"
"July 3","21","17","4"
"July 4","26","15","11"
"July 5","28","22","6"
"July 6","22","14","8"
"July 7","12","11","1"
"July 8","12","11","1"
"July 9","10","7","3"
"July 10","15","11","4"
"July 11","13","10","3"
"July 12","10","5","5"
"July 13","9","6","3"
"July 14","12","10","2"
"July 15","9","7","2"
"July 16","9","8","1"
"July 17","10","8","2"
"July 18","15","12","3"
"July 19","11","8","3"
"July 20","15","11","4"
"July 21","15","12","3"
"July 22","6","5","1"
"July 23","11","11","0"
"July 24","16","14","2"
"July 25","10","5","5"
"July 26","8","7","1"
"July 27","15","11","4"
"July 28","22","19","3"
"July 29","20","15","5"
"July 30","12","10","2"
"July 31","808","618","190"
"August 1","undefined","0","0"
