"Date","Total Viewers","New Viewers","Returning Viewers"
"July 5","28","22","6"
"July 6","22","14","8"
"July 7","12","11","1"
"July 8","12","11","1"
"July 9","10","7","3"
"July 10","15","11","4"
"July 11","13","10","3"
"July 12","10","5","5"
"July 13","9","6","3"
"July 14","12","10","2"
"July 15","9","7","2"
"July 16","9","8","1"
"July 17","10","8","2"
"July 18","15","12","3"
"July 19","11","8","3"
"July 20","15","11","4"
"July 21","15","12","3"
"July 22","6","5","1"
"July 23","11","11","0"
"July 24","16","14","2"
"July 25","10","5","5"
"July 26","8","7","1"
"July 27","15","11","4"
"July 28","22","19","3"
"July 29","20","15","5"
"July 30","12","10","2"
"July 31","808","618","190"
"August 1","undefined","0","0"
