id,title,url,publishedAt,measuredAt,durationSec,mediaType,views,likes,comments,shares,avgWatchSec,avgViewDurationPct,completionRatePct,likeRatePct,engagementRatePct,topCountries
xNfAkfhipSE,Loom · They look at each other #Shorts,https://www.youtube.com/shorts/xNfAkfhipSE,2026-07-30,2026-08-02,4,short,2493,22,0,1,17,342.49,342.49,0.88,0.88,JP:9.0;UZ:8.5;ID:5.8;KR:5.6;DZ:4.6
br8NKQIHjOQ,Loom · Bouquet CF · Different gazes meet #Shorts,https://www.youtube.com/shorts/br8NKQIHjOQ,2026-07-30,2026-08-02,19,short,1031,7,0,0,11,56.47,56.47,0.68,0.68,KR:41.6;ID:7.2;JP:5.1;MM:4.4;TW:3.7
rxwn61IROQc,Loom · Rena · One chosen color starts the day #Shorts,https://www.youtube.com/shorts/rxwn61IROQc,2026-07-29,2026-08-02,8,short,1114,11,0,1,10,119.01,119.01,0.99,0.99,UZ:14.1;KG:3.4;SY:3.2;MN:2.5;MM:1.9
4-18kkZFh18,Four Routes. One Squad. | Loom #Shorts,https://www.youtube.com/shorts/4-18kkZFh18,2026-08-01,2026-08-02,34,short,601,10,,,,,,1.66,1.66,
l2cJP7Q9I8I,Loom - World Cup Pulso / Section S03 - hidden pulse hook #Shorts,https://www.youtube.com/shorts/l2cJP7Q9I8I,2026-06-18,2026-08-02,22,short,355,1,0,0,12,53.56,53.56,0.28,0.28,
SDRlYNohEiE,Loom Ink AI K-pop Idol - Mask Hook #Shorts,https://www.youtube.com/shorts/SDRlYNohEiE,2026-07-04,2026-08-02,19,short,199,2,0,0,11,56.11,56.11,1.01,1.01,KR:73.4
j3XvEYwlApE,Loom - World Cup Pulso / Clip 01 - opening route #Shorts,https://www.youtube.com/shorts/j3XvEYwlApE,2026-06-15,2026-08-02,35,short,193,1,0,0,111,310.96,310.96,0.52,0.52,KR:93.8
TyONE0lKI2s,Loom - Ink | AI K-pop Idol Music Video,https://www.youtube.com/watch?v=TyONE0lKI2s,2026-07-02,2026-08-02,162,video,93,3,0,1,58,36.21,36.21,3.23,3.23,
vvw8DdTrFtA,"One quiet click — closed weave, open proof | Loom #Shorts",https://www.youtube.com/shorts/vvw8DdTrFtA,2026-07-31,2026-08-02,12,short,63,,,,,,,,,
DUyCAFHZ7X0,Loom Track 01 - Root Signal (Full Master),https://www.youtube.com/watch?v=DUyCAFHZ7X0,2026-05-29,2026-08-02,164,video,44,1,0,1,68,41.42,41.42,2.27,2.27,
lzzDanDgsA8,Loom - World Cup Pulso / Section S02 - #Shorts,https://www.youtube.com/shorts/lzzDanDgsA8,2026-06-18,2026-08-02,11,short,49,,,,,,,,,
0vV4CXL3_Qk,Pulso ✨ AURORA-M AI Idol,https://www.youtube.com/watch?v=0vV4CXL3_Qk,2026-06-17,2026-08-02,159,video,37,0,0,0,55,34.48,34.48,0.0,0.0,
