videoId,country,views,averageViewDuration,averageViewPercentage
xNfAkfhipSE,JP,224,5,116.64000000000001
xNfAkfhipSE,UZ,211,7,154.51
xNfAkfhipSE,ID,144,11,227.64
xNfAkfhipSE,KR,139,7,142.48
xNfAkfhipSE,DZ,115,8,161.37
xNfAkfhipSE,IQ,114,12,245.86999999999998
xNfAkfhipSE,SY,82,6,133.76
xNfAkfhipSE,VN,80,6,120.7
xNfAkfhipSE,MA,69,6,123.12
xNfAkfhipSE,EG,61,7,156.47
br8NKQIHjOQ,KR,429,10,53.36
br8NKQIHjOQ,ID,74,9,47.41
br8NKQIHjOQ,JP,53,11,57.89
br8NKQIHjOQ,MM,45,10,53.5
br8NKQIHjOQ,TW,38,15,79.55
br8NKQIHjOQ,UZ,27,7,36.9
br8NKQIHjOQ,KG,24,7,39.85
rxwn61IROQc,UZ,157,8,95.68
rxwn61IROQc,KG,38,8,90.94
rxwn61IROQc,SY,36,7,84.35
rxwn61IROQc,MN,28,7,85.54
rxwn61IROQc,MM,21,6,71.67
rxwn61IROQc,JP,0,0,0
SDRlYNohEiE,KR,146,8,42.99
j3XvEYwlApE,KR,181,10,28.53
